                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.57748,                 2.2337,                 1.1196,                  0.768,                0.77667,                0.85089,                0.76932,                0.39635,                 0.7866,                 0.9844,             3.8307e-05,             3.8307e-05,             3.8307e-05
                      2,                0.50075,                 1.0929,                 1.0535,                0.82457,                0.89694,                0.93722,                 0.8627,                0.36428,                0.59193,                0.95929,             7.3606e-05,             7.3606e-05,             7.3606e-05
                      3,                0.48603,                0.90939,                 1.0401,                0.86338,                0.90927,                0.93626,                0.86053,                0.36361,                0.55866,                0.95967,             0.00010587,             0.00010587,             0.00010587
                      4,                0.46946,                0.78516,                 1.0249,                0.88365,                0.89417,                 0.9452,                0.87223,                0.36881,                0.51599,                0.95735,             0.00010134,             0.00010134,             0.00010134
                      5,                0.46308,                0.71517,                 1.0184,                0.91845,                0.89772,                0.96122,                 0.8884,                 0.3717,                0.48721,                0.95704,             0.00010134,             0.00010134,             0.00010134
                      6,                0.45325,                0.66756,                 1.0111,                0.92112,                0.92151,                0.96164,                0.89232,                0.34887,                0.45642,                0.93851,             9.6784e-05,             9.6784e-05,             9.6784e-05
                      7,                0.44616,                0.62429,                 1.0083,                 0.9276,                0.92697,                0.96648,                0.89975,                0.34753,                0.44573,                0.93983,              9.223e-05,              9.223e-05,              9.223e-05
                      8,                0.44086,                0.58883,                 1.0014,                0.92441,                0.92273,                0.96924,                0.90544,                0.34003,                0.41818,                0.93141,             8.7676e-05,             8.7676e-05,             8.7676e-05
                      9,                0.43108,                 0.5649,                0.99341,                0.93082,                0.93394,                0.97252,                0.90982,                 0.3351,                 0.3938,                 0.9276,             8.3122e-05,             8.3122e-05,             8.3122e-05
                     10,                0.42788,                0.54726,                0.99351,                0.92916,                 0.9265,                0.97096,                0.90994,                0.33554,                0.39866,                0.92717,             7.8568e-05,             7.8568e-05,             7.8568e-05
                     11,                0.42712,                0.53093,                0.99519,                0.93524,                0.93142,                0.97194,                0.91023,                0.34069,                0.39631,                0.93007,             7.4014e-05,             7.4014e-05,             7.4014e-05
                     12,                0.42262,                0.51893,                0.98955,                0.94774,                0.91576,                0.97207,                0.91344,                0.32861,                0.37965,                0.92431,              6.946e-05,              6.946e-05,              6.946e-05
                     13,                0.41587,                0.50192,                0.98556,                0.93573,                 0.9346,                0.97184,                0.91103,                0.32631,                0.37536,                0.91967,             6.4906e-05,             6.4906e-05,             6.4906e-05
                     14,                0.41345,                0.48832,                0.98597,                0.94168,                0.94255,                0.97411,                0.91708,                  0.324,                0.35397,                0.91868,             6.0352e-05,             6.0352e-05,             6.0352e-05
                     15,                0.41331,                 0.4806,                0.98664,                0.94307,                0.93794,                0.97326,                0.91625,                0.32356,                0.35393,                0.91626,             5.5798e-05,             5.5798e-05,             5.5798e-05
                     16,                0.31901,                0.40035,                0.91713,                0.94355,                0.93779,                0.97664,                0.91947,                0.32083,                0.34487,                0.91842,             5.1244e-05,             5.1244e-05,             5.1244e-05
                     17,                0.31064,                0.38571,                0.90919,                0.94257,                0.93997,                0.97608,                0.91863,                0.32068,                0.33934,                0.91317,              4.669e-05,              4.669e-05,              4.669e-05
                     18,                 0.3066,                0.36985,                0.90654,                0.93271,                0.94728,                0.97574,                0.92053,                0.31495,                0.33232,                0.91287,             4.2136e-05,             4.2136e-05,             4.2136e-05
                     19,                0.30158,                0.35594,                0.90035,                   0.95,                0.93407,                0.97584,                0.92118,                0.31209,                0.32931,                0.90871,             3.7582e-05,             3.7582e-05,             3.7582e-05
                     20,                0.29623,                0.35085,                0.89704,                  0.935,                0.94982,                0.97551,                0.92273,                0.30979,                0.32438,                0.90545,             3.3028e-05,             3.3028e-05,             3.3028e-05
                     21,                0.29278,                0.33907,                0.89529,                0.94482,                0.94334,                0.97589,                0.92527,                0.30537,                0.32078,                0.90319,             2.8474e-05,             2.8474e-05,             2.8474e-05
                     22,                0.28934,                0.33228,                0.89105,                0.93465,                0.95223,                0.97655,                0.92562,                0.30307,                0.31057,                0.90201,              2.392e-05,              2.392e-05,              2.392e-05
                     23,                0.28718,                0.32578,                0.89177,                 0.9493,                0.93725,                0.97659,                0.92739,                0.30088,                 0.3153,                0.90106,             1.9366e-05,             1.9366e-05,             1.9366e-05
                     24,                0.28394,                0.31779,                0.88771,                0.93877,                 0.9466,                0.97668,                 0.9267,                0.30112,                0.31195,                0.90107,             1.4812e-05,             1.4812e-05,             1.4812e-05
                     25,                0.28108,                0.31634,                 0.8885,                0.94494,                0.94485,                0.97725,                0.92815,                0.29831,                0.30935,                0.89898,             1.0258e-05,             1.0258e-05,             1.0258e-05
